A,6.228442572088896,5.229374377597539
B,2.4723845717533677,8.647356483569443
C,6.346525548434542,7.026029609625839
D,5.501980498302919,9.578627632590196
E,6.842735345309182,8.658660645169943
F,2.3723015697523886,2.727551014413404
G,7.96429893451416,7.011169687958686
H,6.121944523724855,5.732650441250231
I,4.669107389027048,7.029529133783512
J,3.6513897290629957,8.329271767955044
K,0.7925745442875254,6.464954997869975
L,3.5919210964238446,4.188361167060897
M,1.1092628662111836,5.928667706276286
N,1.945815322279667,8.005380894686105
O,0.927753106473671,4.5237794501174715
P,8.51032818397712,1.0588601322847657
Q,9.28703732946062,1.6218001295965279
R,8.386350093473535,8.222358380189808
S,9.811571509260128,2.41306571614599
T,5.824520569791468,8.722569880483864
U,3.5634257512428205,7.086345889703274
V,0.15077762321286214,4.951928215874485
W,3.314999486902418,0.29141967594762175
